Date,Open,High,Low,Close,Volume,MA_1D,MA_1W,upper_band,middle_band,lower_band,CCI,SMA_Decision,BB_Decision,CCI_Decision
2023-01-02 00:00:00+00:00,87.15769958496094,88.4000015258789,87.15769958496094,88.48200225830078,0,,,,,,,NEUTRAL,NEUTRAL,NEUTRAL
2023-01-03 00:00:00+00:00,88.29199981689453,88.31300354003906,87.22599792480469,88.30000305175781,0,88.3910026550293,,,,,,BUY,NEUTRAL,NEUTRAL
2023-01-04 00:00:00+00:00,87.21900177001953,87.9229965209961,87.21900177001953,87.21900177001953,0,87.75950241088867,,,,,,BUY,NEUTRAL,NEUTRAL
2023-01-05 00:00:00+00:00,87.58000183105469,87.80799865722656,86.75700378417969,87.6050033569336,0,87.41200256347656,,,,,,SELL,NEUTRAL,NEUTRAL
2023-01-06 00:00:00+00:00,86.81900024414062,87.61499786376953,86.64700317382812,86.8270034790039,0,87.21600341796875,87.68660278320313,88.94299137026513,87.68660278320313,86.43021419614112,-108.28262909526887,BUY,NEUTRAL,BUY
2023-01-09 00:00:00+00:00,85.69190216064453,88.28500366210938,85.69190216064453,87.5009994506836,0,87.16400146484375,87.49040222167969,88.46300916077617,87.49040222167969,86.51779528258321,-64.78418508142894,SELL,NEUTRAL,NEUTRAL
2023-01-10 00:00:00+00:00,88.10700225830078,88.24700164794922,87.44599914550781,88.1240005493164,0,87.8125,87.4552017211914,88.31415610089941,87.4552017211914,86.59624734148339,150.2931141678662,SELL,NEUTRAL,SELL
2023-01-11 00:00:00+00:00,87.5739974975586,87.93599700927734,87.41200256347656,87.58200073242188,0,87.85300064086914,87.52780151367188,88.35541843278139,87.52780151367188,86.70018459456236,49.00828447090075,BUY,NEUTRAL,NEUTRAL
2023-01-12 00:00:00+00:00,87.78099822998047,88.14399719238281,87.37799835205078,87.80500030517578,0,87.69350051879883,87.56780090332032,88.42526996773698,87.56780090332032,86.71033183890366,53.4799111812869,SELL,NEUTRAL,NEUTRAL
2023-01-13 00:00:00+00:00,88.00299835205078,88.30400085449219,87.72699737548828,88.01100158691406,0,87.90800094604492,87.80460052490234,88.28321704254363,87.80460052490234,87.32598400726106,84.09773690951052,SELL,NEUTRAL,NEUTRAL
2023-01-16 00:00:00+00:00,86.9448013305664,88.34400177001953,86.9448013305664,87.9520034790039,0,87.98150253295898,87.89480133056641,88.26919716985319,87.89480133056641,87.52040549127963,-41.936653161096494,BUY,NEUTRAL,NEUTRAL
2023-01-17 00:00:00+00:00,88.35299682617188,88.61599731445312,87.94599914550781,88.35299682617188,0,88.15250015258789,87.9406005859375,88.4482526533593,87.9406005859375,87.4329485185157,129.52127135684762,SELL,NEUTRAL,SELL
